loan_id,customer_id,issue_date,funded_amount,total_payment,int_rate,grade,term_months,loan_status,purpose,dti,annual_income,address_state,credit_score,home_ownership,employment_length,verification_status,application_type,delinq_2yrs,open_accounts,revol_util,installment,emp_length_yrs,sub_grade,desc_len
17,5397,2026-07-05,17200.0,2827.4,11.02,B,36,Current,debt_consolidation,28.27,52800.0,NC,732,MORTGAGE,3.2,Not Verified,Individual,0,2,57.9,530.43,3.2,B3,236
18,5375,2026-09-02,11400.0,755.84,13.36,C,60,Current,small_business,21.61,52200.0,VA,705,RENT,2.1,Verified,Individual,0,21,24.5,215.39,2.1,C4,207
19,12646,2026-04-24,16100.0,3705.21,4.27,A,36,Current,credit_card,15.57,58100.0,FL,675,RENT,6.6,Verified,Individual,0,20,58.3,466.31,6.6,A1,279
20,2963,2026-11-11,40000.0,800.0,10.87,C,60,Charged Off,debt_consolidation,12.01,135500.0,MD,722,RENT,6.9,Source Verified,Individual,0,24,70.3,739.14,6.9,C4,252
21,2517,2026-04-18,8100.0,1145.1,10.36,B,60,Current,home_improvement,12.92,84300.0,CA,700,RENT,11.7,Verified,Individual,0,24,45.0,148.98,11.7,B4,168
22,8445,2026-10-27,40000.0,1446.58,5.52,A,60,Current,home_improvement,19.03,86100.0,WI,753,MORTGAGE,12.2,Verified,Individual,0,21,70.2,703.47,12.2,A1,144
23,3563,2026-06-26,20700.0,2143.73,14.26,C,60,Current,debt_consolidation,13.49,30900.0,VA,605,RENT,16.0,Verified,Individual,0,18,53.5,394.21,16.0,C5,147
24,4765,2026-05-09,12700.0,2748.77,12.86,C,36,Current,credit_card,20.33,42400.0,TN,790,OWN,9.5,Source Verified,Individual,0,22,55.9,398.14,9.5,C1,213
25,8094,2026-06-18,9500.0,615.29,17.93,E,36,Charged Off,car,29.42,53800.0,TN,707,OWN,8.1,Verified,Individual,0,13,51.0,311.2,8.1,E5,233
26,6543,2026-03-11,31400.0,8488.04,5.64,A,36,Current,small_business,38.43,98500.0,IL,750,MORTGAGE,9.6,Verified,Individual,0,20,40.2,921.4,9.6,A4,304
27,563,2026-06-23,22200.0,2335.56,13.93,C,60,Current,credit_card,15.59,45900.0,NY,703,RENT,0.0,Source Verified,Joint,0,24,58.5,421.55,0.0,C3,116
28,10821,2026-05-01,9800.0,789.37,11.82,C,36,Charged Off,debt_consolidation,7.84,75600.0,NJ,717,MORTGAGE,12.8,Source Verified,Individual,0,20,57.3,304.4,12.8,C3,264
29,8152,2026-10-05,40000.0,3214.61,10.69,C,36,Current,major_purchase,4.98,75200.0,WI,686,RENT,7.1,Not Verified,Individual,0,6,26.8,1229.87,7.1,C3,168
30,3050,2026-11-04,19000.0,603.84,11.75,C,60,Current,major_purchase,10.29,27500.0,MD,806,MORTGAGE,14.1,Source Verified,Individual,0,17,47.1,353.88,14.1,C1,286
31,754,2026-06-18,37600.0,6764.57,6.85,A,36,Current,debt_consolidation,33.94,39900.0,WI,850,MORTGAGE,3.2,Verified,Individual,0,14,82.4,1115.97,3.2,A5,320
32,9720,2026-06-20,40000.0,2564.38,15.29,D,36,Charged Off,home_improvement,25.07,111500.0,TX,703,RENT,10.5,Source Verified,Individual,0,14,30.5,1281.04,10.5,D4,92
33,11743,2026-12-20,19700.0,26142.98,10.9,C,36,Fully Paid,medical,14.29,41600.0,VA,710,RENT,13.6,Verified,Individual,0,7,35.6,606.88,13.6,C5,22
34,1889,2026-01-09,16100.0,23127.35,8.73,B,60,Fully Paid,credit_card,22.64,114500.0,VA,582,RENT,1.4,Source Verified,Individual,0,15,53.7,291.76,1.4,B5,3
35,1111,2026-04-06,8200.0,2021.92,12.03,C,36,Current,debt_consolidation,8.72,19800.0,IN,811,OWN,9.0,Source Verified,Individual,1,6,81.2,255.17,9.0,C2,353
36,6286,2026-09-02,27500.0,1823.29,9.33,C,60,Current,credit_card,21.84,22300.0,NY,603,MORTGAGE,8.2,Source Verified,Individual,0,19,15.6,501.09,8.2,C4,304
37,6122,2026-02-05,19400.0,3507.95,8.85,A,60,Current,credit_card,18.27,125600.0,CA,775,MORTGAGE,1.8,Source Verified,Individual,1,15,16.3,351.94,1.8,A1,359
38,1032,2026-04-20,14300.0,3343.2,18.14,E,36,Current,debt_consolidation,24.66,54600.0,CA,715,RENT,5.2,Not Verified,Individual,1,5,31.3,469.27,5.2,E5,160
39,4416,2026-08-10,10100.0,796.93,9.47,B,60,Current,home_improvement,19.58,62700.0,GA,634,RENT,1.2,Not Verified,Individual,0,5,29.2,184.28,1.2,B3,208
40,2878,2026-03-17,22300.0,5905.94,12.8,C,36,Current,debt_consolidation,32.93,22700.0,FL,659,RENT,6.1,Source Verified,Individual,0,5,68.2,698.76,6.1,C5,116
41,3607,2026-12-08,40000.0,800.0,24.24,G,36,Charged Off,debt_consolidation,20.77,34100.0,CA,576,MORTGAGE,8.7,Verified,Individual,0,5,48.6,1380.41,8.7,G1,116
42,9530,2026-07-27,40000.0,3463.01,5.03,A,60,Current,major_purchase,22.96,85800.0,WA,598,MORTGAGE,6.3,Verified,Joint,1,13,8.5,700.23,6.3,A5,267
43,2562,2026-02-23,10000.0,1709.59,7.88,B,60,Current,vacation,26.49,104500.0,WI,703,MORTGAGE,3.9,Verified,Individual,0,14,84.6,179.81,3.9,B3,245
44,14209,2026-05-15,19200.0,31242.5,12.54,C,60,Fully Paid,small_business,7.06,38300.0,MO,681,MORTGAGE,6.3,Verified,Individual,0,3,5.9,360.14,6.3,C1,136
45,12605,2026-09-24,7000.0,379.73,13.14,C,60,Current,home_improvement,15.08,58700.0,NY,674,RENT,6.4,Verified,Individual,1,8,43.0,131.99,6.4,C1,40
46,14546,2026-10-03,10300.0,507.95,5.37,A,60,Current,medical,6.56,55400.0,IN,594,MORTGAGE,6.1,Verified,Individual,1,3,47.9,180.89,6.1,A3,343
47,13577,2026-04-14,21500.0,5144.29,15.48,D,36,Current,small_business,10.82,87800.0,AZ,658,MORTGAGE,3.8,Verified,Joint,0,21,43.9,689.65,3.8,D2,10
48,8921,2026-05-10,12300.0,2650.96,10.93,C,36,Current,credit_card,19.43,112100.0,OH,742,RENT,4.2,Verified,Individual,0,10,39.3,379.01,4.2,C5,164
49,6772,2026-12-22,6100.0,8040.38,10.6,B,36,Fully Paid,car,13.2,169300.0,IL,850,MORTGAGE,4.9,Verified,Individual,0,11,78.2,187.41,4.9,B2,104
50,432,2026-11-06,8000.0,245.48,9.81,B,60,Current,credit_card,23.06,37600.0,WA,735,OWN,4.9,Verified,Individual,0,8,90.9,146.41,4.9,B3,71
51,4075,2026-02-17,40000.0,70924.34,15.46,D,60,Fully Paid,credit_card,35.03,80600.0,GA,608,RENT,13.0,Not Verified,Individual,0,8,14.2,769.75,13.0,D2,359
52,12922,2026-09-15,7100.0,420.16,13.38,C,60,Current,medical,31.43,58600.0,MA,472,MORTGAGE,3.2,Source Verified,Individual,1,7,39.1,134.17,3.2,C4,382
53,14793,2026-03-18,14200.0,1349.19,13.91,D,36,Charged Off,debt_consolidation,27.71,49500.0,NY,793,RENT,10.1,Verified,Individual,0,8,41.6,449.3,10.1,D3,34
54,543,2026-05-08,24500.0,1917.04,11.3,C,36,Charged Off,debt_consolidation,13.23,50000.0,FL,718,RENT,13.3,Source Verified,Individual,0,9,21.8,757.43,13.3,C5,93
55,9288,2026-09-12,17500.0,1773.97,3.28,A,36,Current,debt_consolidation,15.98,27000.0,AZ,622,MORTGAGE,9.1,Source Verified,Individual,1,3,53.5,502.04,9.1,A3,373
56,13700,2026-06-08,16500.0,3119.18,6.37,A,36,Current,debt_consolidation,20.06,62300.0,NY,627,RENT,4.3,Verified,Individual,0,24,95.1,487.54,4.3,A5,399
57,1479,2026-09-05,28700.0,3092.79,7.83,B,36,Current,small_business,3.55,85700.0,NC,670,RENT,8.6,Source Verified,Joint,1,13,42.9,859.65,8.6,B5,382
58,11826,2026-07-17,40000.0,67241.86,22.7,F,36,Fully Paid,debt_consolidation,15.98,100400.0,MA,608,MORTGAGE,2.3,Source Verified,Individual,0,11,54.8,1363.35,2.3,F5,340
59,1338,2026-12-25,19600.0,392.0,9.74,B,60,Current,car,14.9,43500.0,PA,749,OWN,4.5,Source Verified,Individual,0,10,78.1,358.47,4.5,B5,177
60,12804,2026-03-13,5800.0,934.36,7.11,A,60,Current,major_purchase,30.07,92300.0,PA,700,RENT,5.5,Not Verified,Individual,1,7,63.2,103.54,5.5,A2,134
61,7109,2026-12-24,17400.0,348.0,8.54,B,36,Current,debt_consolidation,18.04,31100.0,IL,743,MORTGAGE,5.3,Source Verified,Individual,0,19,60.4,524.63,5.3,B3,203
62,11033,2026-10-19,30300.0,2047.67,15.73,D,36,Current,home_improvement,6.6,72600.0,TX,758,RENT,9.0,Verified,Individual,0,8,27.3,974.04,9.0,D2,232
63,8690,2026-11-26,17700.0,354.0,11.94,C,36,Charged Off,medical,11.64,67000.0,CA,744,RENT,3.3,Verified,Joint,1,6,43.0,550.36,3.3,C5,148
64,1613,2026-12-18,15300.0,306.0,14.27,D,60,Current,home_improvement,19.74,23700.0,CA,696,RENT,10.2,Source Verified,Individual,1,22,24.6,291.38,10.2,D4,341
65,3099,2026-10-21,38900.0,45359.57,5.54,A,36,Fully Paid,credit_card,23.37,42300.0,IL,850,RENT,2.7,Not Verified,Individual,0,10,64.8,1140.37,2.7,A4,185
66,1845,2026-09-04,40000.0,2608.22,16.65,E,60,Current,debt_consolidation,20.34,52800.0,MI,601,OWN,6.9,Source Verified,Individual,0,13,67.7,777.69,6.9,E1,199
67,9553,2026-02-06,40000.0,7210.96,9.05,B,60,Current,moving,8.95,44200.0,AZ,850,RENT,1.2,Source Verified,Joint,0,9,33.3,727.02,1.2,B4,78
68,2670,2026-03-02,15100.0,4205.94,8.94,B,36,Current,debt_consolidation,29.05,82100.0,WA,650,RENT,7.4,Source Verified,Individual,0,5,56.3,456.94,7.4,B5,119
69,13172,2026-11-03,25000.0,36260.68,15.01,D,36,Fully Paid,debt_consolidation,20.7,69400.0,MI,721,RENT,0.8,Verified,Individual,0,9,27.4,798.71,0.8,D3,215
70,13610,2026-08-13,40000.0,3090.41,22.18,F,60,Current,major_purchase,19.65,51200.0,NY,714,RENT,3.6,Source Verified,Individual,1,18,91.6,814.54,3.6,F4,342
71,11731,2026-10-12,17500.0,1294.52,5.65,A,36,Current,credit_card,23.27,70900.0,OH,655,RENT,5.3,Verified,Joint,0,21,33.9,513.6,5.3,A3,207
72,16,2026-03-25,36600.0,9425.75,9.41,B,36,Current,small_business,27.38,111200.0,CA,635,MORTGAGE,4.2,Verified,Individual,0,10,11.8,1112.34,4.2,B5,331
73,11329,2026-11-01,12000.0,401.1,6.95,A,60,Current,debt_consolidation,30.11,108400.0,WA,706,RENT,4.7,Verified,Joint,0,15,15.5,213.89,4.7,A3,169
74,2245,2026-01-22,16500.0,21129.35,5.61,A,60,Fully Paid,credit_card,12.75,83300.0,VA,736,RENT,0.0,Source Verified,Individual,2,22,79.4,290.43,0.0,A4,84
75,12314,2026-12-21,10500.0,210.0,8.39,B,60,Current,vacation,9.19,135100.0,NC,649,OTHER,2.2,Not Verified,Individual,1,4,75.8,189.69,2.2,B5,183
76,11632,2026-11-24,9300.0,193.64,7.02,A,60,Current,debt_consolidation,18.75,166200.0,CA,673,RENT,1.3,Verified,Individual,0,10,48.9,165.88,1.3,A1,328
77,7907,2026-03-12,12300.0,3313.7,9.76,B,36,Current,debt_consolidation,21.18,40300.0,WA,743,MORTGAGE,9.5,Source Verified,Individual,0,3,94.1,375.02,9.5,B1,300
78,13784,2026-06-27,14300.0,2455.16,16.87,D,36,Current,debt_consolidation,14.03,103200.0,MD,646,MORTGAGE,10.8,Source Verified,Individual,0,5,57.8,464.23,10.8,D5,126
79,10120,2026-08-16,40000.0,5041.1,14.13,D,36,Current,credit_card,0.0,33900.0,MI,731,RENT,5.2,Source Verified,Individual,0,19,17.1,1268.11,5.2,D5,175
80,1307,2026-11-11,13200.0,20063.08,10.4,B,60,Fully Paid,home_improvement,17.95,199200.0,WI,625,MORTGAGE,1.6,Source Verified,Individual,2,19,47.4,242.88,1.6,B3,369
81,9833,2026-05-09,23000.0,1792.11,13.47,C,60,Charged Off,moving,11.42,80300.0,NJ,666,MORTGAGE,4.1,Not Verified,Individual,0,15,6.6,434.99,4.1,C5,212
82,1047,2026-05-22,7200.0,1472.88,6.31,A,36,Current,major_purchase,22.64,38400.0,NY,659,MORTGAGE,11.8,Not Verified,Individual,1,7,29.5,212.63,11.8,A4,248
83,14090,2026-02-05,17800.0,5364.38,9.32,B,36,Current,home_improvement,26.42,64200.0,NC,840,MORTGAGE,5.3,Not Verified,Individual,0,16,49.8,540.51,5.3,B1,266
84,3048,2026-12-10,5400.0,108.49,9.24,B,36,Current,other,34.37,73300.0,FL,739,RENT,6.3,Verified,Joint,0,9,30.8,163.87,6.3,B1,112
85,1151,2026-06-21,7600.0,484.73,5.33,A,36,Charged Off,credit_card,26.63,84800.0,MA,713,RENT,7.3,Verified,Individual,0,5,46.0,222.37,7.3,A4,261
86,9496,2026-07-01,18800.0,3159.09,13.77,C,36,Current,car,16.29,46300.0,GA,752,RENT,6.2,Verified,Individual,0,16,24.6,594.15,6.2,C4,196
87,11646,2026-10-15,25500.0,1089.86,22.19,F,60,Current,debt_consolidation,37.53,166400.0,IL,736,OWN,9.1,Verified,Individual,0,9,0.0,519.3,9.1,F1,155
88,3429,2026-01-12,28400.0,3305.29,16.48,E,36,Charged Off,credit_card,3.5,79600.0,OH,840,RENT,3.0,Not Verified,Individual,0,4,53.9,918.89,3.0,E5,363
89,156,2026-04-20,11300.0,2641.83,6.48,A,36,Current,small_business,21.28,95200.0,TX,832,MORTGAGE,12.6,Not Verified,Individual,0,20,47.6,334.23,12.6,A3,363
90,4410,2026-07-09,20700.0,3327.12,26.07,G,36,Current,medical,21.64,37800.0,TN,572,MORTGAGE,0.0,Verified,Individual,0,19,0.0,724.92,0.0,G3,305
91,10836,2026-04-01,20100.0,5047.95,5.3,A,36,Current,credit_card,0.0,102500.0,NY,682,MORTGAGE,0.0,Source Verified,Joint,0,5,26.3,587.94,0.0,A5,369
92,11431,2026-12-08,20400.0,25080.65,7.65,A,36,Fully Paid,home_improvement,11.68,101400.0,IL,562,RENT,7.0,Source Verified,Individual,0,20,43.8,610.01,7.0,A4,217
93,649,2026-12-07,40000.0,913.24,17.09,D,36,Current,small_business,14.05,63900.0,WA,712,OTHER,2.7,Verified,Individual,1,11,33.9,1301.02,2.7,D5,297
94,9505,2026-12-18,12000.0,17178.35,14.38,D,36,Fully Paid,debt_consolidation,27.06,74900.0,MO,699,OWN,9.1,Source Verified,Individual,0,21,17.0,381.28,9.1,D3,161
95,7587,2026-11-01,22100.0,1231.14,21.99,F,36,Current,major_purchase,22.96,91900.0,TX,753,RENT,3.5,Verified,Individual,0,23,10.8,748.87,3.5,F3,307
96,12043,2026-10-16,20000.0,25385.76,5.39,A,60,Fully Paid,home_improvement,23.91,130600.0,WI,723,OWN,11.2,Source Verified,Individual,0,22,13.5,351.29,11.2,A2,25
97,1680,2026-12-24,33600.0,672.0,20.55,E,36,Current,debt_consolidation,0.0,56300.0,WI,678,RENT,5.8,Not Verified,Individual,1,3,55.9,1125.17,5.8,E4,55
98,10992,2026-12-02,11900.0,19009.08,19.91,E,36,Fully Paid,home_improvement,12.49,141800.0,FL,831,MORTGAGE,2.0,Source Verified,Individual,0,24,77.0,396.38,2.0,E4,33
99,7256,2026-07-20,23100.0,1253.1,19.65,F,36,Charged Off,debt_consolidation,13.86,28300.0,CA,677,MORTGAGE,11.0,Verified,Individual,0,19,99.1,767.78,11.0,F3,232
100,7962,2026-12-21,28600.0,572.0,17.24,E,36,Current,debt_consolidation,12.18,119000.0,MI,584,MORTGAGE,10.7,Source Verified,Individual,0,6,62.9,931.37,10.7,E3,395
101,4040,2026-08-10,38500.0,5063.01,7.25,A,36,Current,major_purchase,26.02,120600.0,MA,686,MORTGAGE,6.9,Source Verified,Individual,0,16,61.4,1146.96,6.9,A3,306
102,244,2026-08-26,20400.0,34371.69,13.7,C,60,Fully Paid,other,17.56,90700.0,TX,589,RENT,6.4,Verified,Individual,0,13,18.9,386.57,6.4,C3,124
103,1373,2026-10-09,14100.0,1081.64,6.8,A,36,Current,home_improvement,1.66,92400.0,FL,730,MORTGAGE,0.0,Verified,Individual,0,10,48.9,418.3,0.0,A1,346
104,14923,2026-06-09,18400.0,2076.93,11.55,C,60,Current,medical,26.26,131700.0,MI,726,MORTGAGE,0.0,Verified,Individual,0,23,46.9,342.07,0.0,C1,18
105,1215,2026-12-27,11600.0,14042.56,7.02,A,36,Fully Paid,major_purchase,13.32,57000.0,IL,501,MORTGAGE,9.5,Not Verified,Individual,0,18,44.3,344.84,9.5,A4,173
106,7471,2026-12-17,38600.0,57936.15,10.02,B,60,Fully Paid,major_purchase,17.92,55000.0,NY,714,MORTGAGE,6.7,Verified,Individual,0,6,44.9,707.79,6.7,B5,125
107,5025,2026-02-22,40000.0,11433.79,16.33,E,36,Current,debt_consolidation,14.67,74800.0,CA,668,MORTGAGE,5.9,Source Verified,Individual,0,19,61.1,1292.54,5.9,E5,174
108,5849,2026-07-06,2400.0,392.33,10.27,B,36,Current,debt_consolidation,35.82,78500.0,TX,742,MORTGAGE,4.4,Not Verified,Individual,1,18,33.9,73.51,4.4,B2,146
109,5272,2026-01-10,16700.0,5429.41,9.58,B,36,Current,vacation,31.62,88600.0,PA,783,MORTGAGE,0.0,Source Verified,Individual,0,23,29.8,508.32,0.0,B3,337
110,4792,2026-08-04,16100.0,26254.5,12.61,C,60,Fully Paid,debt_consolidation,26.81,46300.0,IL,466,RENT,5.3,Not Verified,Individual,1,24,13.5,302.18,5.3,C1,33
111,9538,2026-02-12,15300.0,2707.89,9.5,B,60,Current,debt_consolidation,1.13,74100.0,NY,748,RENT,8.7,Source Verified,Individual,0,2,43.1,279.21,8.7,B4,261
112,13682,2026-04-01,40000.0,3616.44,21.89,F,36,Charged Off,moving,27.77,54700.0,MO,755,MORTGAGE,6.5,Not Verified,Individual,0,23,41.0,1354.33,6.5,F4,95
113,10062,2026-01-04,40000.0,7934.25,13.96,C,60,Current,debt_consolidation,13.99,46900.0,WI,639,MORTGAGE,4.1,Not Verified,Joint,1,9,39.0,759.75,4.1,C2,255
114,9988,2026-09-19,7800.0,266.7,13.52,C,36,Charged Off,major_purchase,27.27,37200.0,NY,722,MORTGAGE,0.4,Verified,Joint,0,17,70.4,245.95,0.4,C2,92
115,2945,2026-01-16,9600.0,3068.49,7.66,B,36,Current,credit_card,27.57,59600.0,OH,690,MORTGAGE,13.0,Not Verified,Individual,0,16,36.2,287.09,13.0,B2,102
116,5374,2026-06-02,32800.0,6380.27,9.17,B,36,Current,car,18.07,114900.0,VA,653,RENT,9.9,Verified,Individual,0,3,16.9,994.63,9.9,B5,316
117,462,2026-10-23,26600.0,1020.27,7.54,A,60,Current,major_purchase,17.86,142500.0,NJ,637,MORTGAGE,2.6,Verified,Individual,0,2,40.1,476.74,2.6,A3,65
118,1799,2026-09-09,30100.0,1880.22,15.62,D,60,Current,credit_card,28.68,70300.0,FL,657,RENT,0.0,Verified,Individual,0,7,35.8,580.04,0.0,D4,159
119,12853,2026-01-22,20300.0,28057.99,7.64,A,60,Fully Paid,major_purchase,6.28,54000.0,GA,709,MORTGAGE,12.8,Not Verified,Joint,0,3,50.4,364.19,12.8,A3,39
120,4566,2026-09-13,27600.0,1663.56,14.02,D,60,Current,debt_consolidation,8.02,55900.0,GA,708,OWN,7.3,Source Verified,Individual,0,19,49.0,524.48,7.3,D3,289
121,1479,2026-06-11,10100.0,17460.26,14.57,C,60,Fully Paid,debt_consolidation,2.68,85700.0,NC,670,RENT,8.6,Verified,Individual,0,5,97.2,192.87,8.6,C1,189
122,13827,2026-04-04,21600.0,5365.48,4.91,A,36,Current,debt_consolidation,18.03,46500.0,NY,635,OWN,3.6,Source Verified,Individual,0,10,87.1,629.48,3.6,A1,358
123,13901,2026-04-25,18000.0,2475.62,9.37,B,60,Current,debt_consolidation,14.67,44400.0,PA,798,MORTGAGE,0.0,Verified,Individual,1,10,32.8,328.11,0.0,B5,9
124,4060,2026-10-21,40000.0,49290.74,4.65,A,60,Fully Paid,major_purchase,22.24,51800.0,IN,692,MORTGAGE,11.5,Not Verified,Individual,0,17,0.2,697.64,11.5,A5,125
125,14486,2026-11-10,11900.0,238.0,12.17,C,36,Charged Off,major_purchase,17.96,43900.0,FL,630,MORTGAGE,1.6,Source Verified,Individual,0,23,58.2,370.79,1.6,C5,39
126,716,2026-08-27,36600.0,61109.18,13.39,C,60,Fully Paid,car,15.12,101600.0,FL,608,RENT,8.0,Verified,Individual,0,14,43.0,691.7,8.0,C3,383
127,6408,2026-10-08,6400.0,496.8,6.47,A,36,Current,credit_card,11.89,49400.0,AZ,681,OWN,9.1,Source Verified,Individual,0,3,40.6,189.28,9.1,A5,97
128,6222,2026-08-18,39500.0,4905.94,10.02,B,36,Current,credit_card,19.4,100800.0,VA,676,MORTGAGE,5.5,Not Verified,Individual,0,17,54.0,1207.18,5.5,B3,50
129,2761,2026-06-06,6400.0,9199.54,8.75,B,60,Fully Paid,small_business,18.54,117500.0,MI,647,MORTGAGE,8.6,Verified,Individual,0,2,20.4,116.0,8.6,B4,340
130,5196,2026-12-12,8800.0,12943.22,15.69,D,36,Fully Paid,credit_card,32.75,47500.0,IN,770,RENT,3.8,Not Verified,Individual,0,16,61.2,282.81,3.8,D3,42
131,7501,2026-09-13,16600.0,1667.58,16.29,E,36,Current,debt_consolidation,22.9,75200.0,WI,770,MORTGAGE,8.6,Source Verified,Individual,2,17,59.1,536.25,8.6,E3,80
132,1068,2026-04-16,12000.0,2849.32,10.02,B,36,Current,home_improvement,16.6,179700.0,MD,734,MORTGAGE,4.4,Not Verified,Individual,0,2,75.2,366.75,4.4,B1,101
133,12821,2026-12-26,10600.0,15787.32,16.31,D,36,Fully Paid,car,13.04,118600.0,NC,582,MORTGAGE,6.8,Source Verified,Individual,0,4,55.6,342.48,6.8,D2,75
134,7711,2026-03-16,7200.0,10114.57,8.1,A,60,Fully Paid,debt_consolidation,24.13,83200.0,OH,657,OWN,11.6,Source Verified,Individual,0,5,9.5,129.72,11.6,A3,152
135,9765,2026-05-14,4300.0,546.63,9.44,B,60,Current,credit_card,26.81,34000.0,CA,769,MORTGAGE,9.6,Source Verified,Individual,1,19,43.8,78.43,9.6,B2,46
136,13160,2026-10-21,21700.0,27571.35,9.02,B,36,Fully Paid,medical,34.48,55200.0,AZ,793,MORTGAGE,10.3,Source Verified,Individual,2,23,66.3,657.14,10.3,B4,172
137,9992,2026-01-13,26000.0,3017.42,15.2,D,36,Charged Off,medical,28.24,67000.0,TX,562,MORTGAGE,7.7,Source Verified,Individual,0,2,16.6,831.97,7.7,D4,129
138,3886,2026-04-01,40000.0,45781.27,4.82,A,36,Fully Paid,medical,8.77,44900.0,GA,704,MORTGAGE,7.4,Verified,Individual,0,15,35.1,1164.64,7.4,A4,50
139,13253,2026-07-04,13200.0,2181.92,18.46,E,36,Current,credit_card,22.24,95100.0,GA,648,RENT,4.5,Not Verified,Individual,0,22,68.9,434.36,4.5,E2,273
140,6714,2026-10-27,19500.0,423.12,17.73,D,36,Charged Off,debt_consolidation,17.15,62300.0,NY,641,RENT,9.2,Verified,Individual,1,18,60.8,637.7,9.2,D2,18
141,12017,2026-07-11,38100.0,58229.54,17.61,D,36,Fully Paid,credit_card,9.38,42400.0,IL,727,RENT,0.0,Verified,Individual,0,14,39.1,1244.72,0.0,D5,291
142,7677,2026-01-20,18700.0,5908.86,18.15,E,36,Current,credit_card,9.34,22300.0,GA,684,MORTGAGE,3.0,Verified,Individual,0,18,41.6,613.75,3.0,E1,33
143,14547,2026-12-20,40000.0,56102.45,13.42,C,36,Fully Paid,home_improvement,14.57,59200.0,AZ,759,MORTGAGE,5.2,Verified,Individual,0,5,35.3,1260.21,5.2,C1,353
144,97,2026-11-22,24100.0,880.37,9.21,B,36,Current,car,6.22,48600.0,TX,600,MORTGAGE,12.6,Source Verified,Individual,0,15,31.1,731.1,12.6,B1,166
145,270,2026-08-20,12300.0,903.12,23.94,F,60,Current,major_purchase,1.42,142800.0,AZ,700,RENT,8.3,Verified,Individual,0,9,58.3,254.08,8.3,F1,257
146,11275,2026-12-14,17900.0,358.0,8.39,A,36,Current,debt_consolidation,13.14,54500.0,TX,690,MORTGAGE,2.2,Not Verified,Joint,0,9,55.0,538.93,2.2,A5,272
